Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,Club Code 3,NFS Team Code,NCAA ID
Gallaudet Bison,Gallaudet University,Bison,Eastern Collegiate Football Conference,3,GAL,GU,DCGA,DCGA,245
Gannon Golden Knights,Gannon University,Golden Knights,Pennsylvania State Athletic Conference,2,GAN,GU,PAGA,PAGA,246
Gardner-Webb Runnin' Bulldogs,Gardner-Webb University,Runnin' Bulldogs,Big South Conference,1AA,GW,GWU,NCGW,NCGW,1092
Geneva Golden Tornadoes,Geneva College,Golden Tornadoes,Presidents Athletic Conference,3,GEN,GC,PAGN,PAGN,30084
George Fox Bruin,George Fox University,Bruin,Northwest Conference,3,GF,GFU,ORGF,ORGF,1094
Georgetown Hoyas,Georgetown University,Hoyas,Patriot League,1AA,GEO,GU,DCGT,DCGT,251
Georgetown Tigers,Georgetown College (Ky.),Tigers,Mid-South Conference,NAIA,GEO,GC,KYGT,KYGT,506003
Georgia Bulldogs,University of Georgia,Bulldogs,Southeastern Conference,1A,GA,GEO,GAUN,GAUN,257
Georgia Southern Eagles,Georgia Southern University,Eagles,Sun Belt Conference,1A,GS,GSU,GASO,GASO,253
Georgia State Panthers,Georgia State University,Panthers,Sun Belt Conference,1A,GAS,GEO,GAST,GAST,254
Georgia Tech Yellow Jackets,Georgia Institute of Technology,Yellow Jackets,Atlantic Coast Conference,1A,GIT,GA,GATC,GATC,255
Gettysburg Bullets,Gettysburg College,Bullets,Centennial Conference,3,GET,GC,PAGB,PAGB,258
Glenville State Pioneers,Glenville State College,Pioneers,Mountain East Conference,2,GLE,GSC,WVGL,WVGL,1098
Grambling State Tigers,Grambling State University,Tigers,Southwestern Athletic Conference,1AA,GRA,GSU,LAGR,LAGR,261
Grand Valley State Lakers,Grand Valley State University,Lakers,Great Lakes Intercollegiate Athletic Conference,2,GV,GVS,MIGV,MIGV,262
Grand View Vikings,Grand View University,Vikings,Mid-States Football Association,NAIA,GV,GVU,IAGV,IAGV,501982
Greensboro Pride,Greensboro College,Pride,USA South Athletic Conference,3,GRE,GC,NCGR,NCGR,263
Greenville Panthers,Greenville College,Panthers,Upper Midwest Athletic Conference,3,GCP,GC,ILGV,ILGV,1111
Grinnell Pioneers,Grinnell College,Pioneers,Midwest Conference,3,GRI,GC,IAGN,IAGN,264
Grove City Wolverines,Grove City College,Wolverines,Presidents Athletic Conference,3,GRO,GCC,PAGC,PAGC,265
Guilford Quakers,Guilford College,Quakers,Old Dominion Athletic Conference,3,GUI,GC,NCGU,NCGU,1112
Gustavus Adolphus Golden Gusties,Gustavus Adolphus College,Golden Gusties,Minnesota Intercollegiate Athletic Conference,3,GUS,GAC,MNGA,MNGA,266
Hamilton Continentals,Hamilton College,Continentals,New England Small College Athletic Conference,3,HAC,HC,NYHA,NYHA,267
Hamline Pipers,Hamline University,Pipers,Minnesota Intercollegiate Athletic Conference,3,HAP,HU,MNHA,MNHA,268
Hampden-Sydney Tigers,Hampden-Sydney College,Tigers,Old Dominion Athletic Conference,3,HSC,HAM,VAHS,VAHS,269
Hampton Pirates,Hampton University,Pirates,Mid-Eastern Athletic Conference,1AA,HAM,HU,VAHI,VAHI,270
Hanover Panthers,Hanover College,Panthers,Heartland Collegiate Athletic Conference,3,HAN,HC,INHA,INHA,1115
Hardin-Simmons Cowboys,Hardin-Simmons University,Cowboys,American Southwest Conference,3,HSU,HAR,TXHS,TXHS,271
Harding Bison,Harding University,Bison,Great American Conference,2,HRB,HU,ARHA,ARHA,1116
Hartwick Hawks,Hartwick College,Hawks,Empire 8 Conference,3,HRH,HC,NYHW,NYHW,273
Harvard Crimson,Harvard University,Crimson,Ivy League,1AA,HAR,HRV,MAHA,MAHA,275
Haskell Indians,Haskell Indian Nations University,Indians,Independent,NAIA,HAS,HIN,KSHA,KSHA,506153
Hastings Broncos,Hastings College,Broncos,Great Plains Athletic Conference,NAIA,HAS,HC,NEHA,NEHA,30113
Hawaii Warriors,University of Hawaii,Warriors,Mountain West Conference,1A,HI,HAW,HIUN,HIUN,277
Heidelberg Student Princes,Heidelberg College,Student Princes,Ohio Athletic Conference,3,HEI,HC,OHHE,OHHE,278
Henderson State Reddies,Henderson State University,Reddies,Great American Conference,2,HEN,HSU,ARHE,ARHE,1123
Hendrix Warriors,Hendrix College,Warriors,Southern Athletic Association,3,HCW,HC,ARHN,ARHN,1124
Hillsdale Chargers,Hillsdale College,Chargers,Great Lakes Intercollegiate Athletic Conference,2,HIL,HC,MIHI,MIHI,280
Hiram Terriers,Hiram College,Terriers,North Coast Athletic Conference,3,HIR,HC,OHHI,OHHI,281
Hobart Statesmen,Hobart and William Smith Colleges,Statesmen,Liberty League,3,HOB,HWS,NYHB,NYHB,282
Holy Cross Crusaders,College of the Holy Cross,Crusaders,Patriot League,1AA,HC,HOL,MAHC,MAHC,285
Hope Flying Dutchmen,Hope College,Flying Dutchmen,Michigan Intercollegiate Athletic Association,3,HOP,HC,MIHO,MIHO,286
Houston Baptist Huskies,Houston Baptist University,Huskies,Southland Conference,1AA,HBU,HB,TXHT,TXHT,287
Houston Cougars,University of Houston,Cougars,American Athletic Conference,1A,HOU,HST,TXHO,TXHO,288
Howard Bison,Howard University,Bison,Mid-Eastern Athletic Conference,1AA,HOW,HU,DCHO,DCHO,290
Howard Payne Yellow Jackets,Howard Payne University,Yellow Jackets,American Southwest Conference,3,HP,HPU,TXHP,TXHP,2741
Humboldt State Lumberjacks,Humboldt State University,Lumberjacks,Great Northwest Athletic Conference,2,HUM,HSU,CAHU,CAHU,291
Huntingdon Hawks,Huntingdon College,Hawks,USA South Athletic Conference,3,HUN,HC,ALHU,ALHU,1130
Husson Eagles,Husson University,Eagles,Eastern Collegiate Football Conference,3,HUS,HU,MEHU,MEHU,1133
Idaho State Bengals,Idaho State University,Bengals,Big Sky Conference,1AA,ISB,IDA,IDST,IDST,294
Idaho Vandals,University of Idaho,Vandals,Sun Belt Conference,1A,ID,IDA,IDUN,IDUN,295
Illinois Blueboys,Illinois College,Blueboys,Midwest Conference,3,ILB,ILL,ILCL,ILCL,297
Illinois Fighting Illini,University of Illinois,Fighting Illini,Big Ten Conference,1A,IL,ILL,ILUN,ILUN,301
Illinois State Redbirds,Illinois State University,Redbirds,Missouri Valley Football Conference,1AA,ILS,ILL,ILST,ILST,299
Illinois Wesleyan Titans,Illinois Wesleyan University,Titans,College Conference of Illinois and Wisconsin,3,IWU,ILL,ILWS,ILWS,300
Incarnate Word Cardinals,University of the Incarnate Word,Cardinals,Southland Conference,1AA,INC,UIW,TXIW,TXIW,2743
Indiana Hoosiers,Indiana University,Hoosiers,Big Ten Conference,1A,IN,IND,INUN,INUN,306
Indiana State Sycamores,Indiana State University,Sycamores,Missouri Valley Football Conference,1AA,ISS,IND,INST,INST,305
Indiana University Crimson Hawks,Indiana University of Pennsylvania,Crimson Hawks,Pennsylvania State Athletic Conference,2,IUP,IND,PAIU,PAIU,307
Indianapolis Greyhounds,University of Indianapolis,Greyhounds,Great Lakes Valley Conference,2,IND,UI,INCE,INCE,309
Iowa Hawkeyes,University of Iowa,Hawkeyes,Big Ten Conference,1A,IA,IOW,IAUN,IAUN,312
Iowa State Cyclones,Iowa State University,Cyclones,Big Twelve Conference,1A,ISU,IAS,IAST,IAST,311
Iowa Wesleyan Tigers,Iowa Wesleyan College,Tigers,Upper Midwest Athletic Conference,3,IW,IWC,IAWS,IAWS,30173
Ithaca Bombers,Ithaca College,Bombers,Empire 8 Conference,3,ITH,IC,NYIT,NYIT,313
Jackson State Tigers,Jackson State University,Tigers,Southwestern Athletic Conference,1AA,JAC,JAX,MSJA,MSJA,314
Jacksonville Dolphins,Jacksonville University,Dolphins,Pioneer Football League,1AA,JXD,JAX,FLJA,FLJA,316
Jacksonville State Gamecocks,Jacksonville State University,Gamecocks,Ohio Valley Conference,1AA,JXS,JAX,JSU,ALJA,315
James Madison Dukes,James Madison University,Dukes,Colonial Athletic Association,1AA,JMU,JAM,VAJM,VAJM,317
Jamestown Jimmies,University of Jamestown,Jimmies,North Star Athletic Association,NAIA,JAM,UJ,NDJA,NDJA,506057
John Carroll Blue Streaks,John Carroll University,Blue Streaks,Ohio Athletic Conference,3,JC,JCU,OHJC,OHJC,320
Johns Hopkins Blue Jays,Johns Hopkins University,Blue Jays,Centennial Conference,3,JH,JHU,MDJH,MDJH,322
Johnson C. Smith Golden Bulls,Johnson C. Smith University,Golden Bulls,Central Intercollegiate Athletic Association,2,JCS,JSU,NCJC,NCJC,323
Juniata Eagles,Juniata College,Eagles,Centennial Conference,3,JUN,JC,PAJU,PAJU,325
Kalamazoo Hornets,Kalamazoo College,Hornets,Michigan Intercollegiate Athletic Association,3,KAL,KC,MIKA,MIKA,326
Kansas Jayhawks,University of Kansas,Jayhawks,Big Twelve Conference,1A,KS,KAN,KSUN,KSUN,328
Kansas State Wildcats,Kansas State University,Wildcats,Big Twelve Conference,1A,KST,KAN,KSST,KSST,327
Kansas Wesleyan Coyotes,Kansas Wesleyan University,Coyotes,Kansas Collegiate Athletic Conference,NAIA,KW,KWU,KSWS,KSWS,506103
Kean Cougars,Kean University,Cougars,New Jersey Athletic Conference,3,KU,KEA,NJKE,NJKE,329
Kennesaw State Owls,Kennesaw State University,Owls,Big South Conference,1AA,KSO,KSU,GAKS,GAKS,1157
Kent State Golden Flashes,Kent State University,Golden Flashes,Mid-American Conference,1A,KEN,KST,OHKS,OHKS,331
Kentucky Christian Knights,Kentucky Christian,Knights,Mid-South Conference,NAIA,KC,KCU,KYCH,KYCH,502500
Kentucky State Thorobreds,Kentucky State University,Thorobreds,Southern Intercollegiate Athletic Conference,2,KSU,KST,KYST,KYST,332
Kentucky Wesleyan Panthers,Kentucky Wesleyan College,Panthers,Independent,2,KW,KWC,KYWS,KYWS,333
Kentucky Wildcats,University of Kentucky,Wildcats,Southeastern Conference,1A,KY,KEN,UK,KYUN,334
Kenyon Lords,Kenyon College,Lords,North Coast Athletic Conference,3,KCL,KNY,OHKE,OHKE,335
King's Monarchs,King's College,Monarchs,Middle Atlantic Conference,3,KC,KIN,PAKI,PAKI,336
Kings Point Mariners,United States Merchant Marine Academy,Mariners,Liberty League,3,MMA,KP,NYMM,NYMM,724
Knox Prairie Fire,Knox College,Prairie Fire,Midwest Conference,3,KNX,KNO,ILKN,ILKN,337
Kutztown Golden Bears,Kutztown University,Golden Bears,Pennsylvania State Athletic Conference,2,KUT,KU,PAKU,PAKU,339
Lafayette Leopards,Lafayette College,Leopards,Patriot League,1AA,LAF,LAY,PALF,PALF,342
LaGrange Panthers,LaGrange College,Panthers,USA South Athletic Conference,3,LC,LAG,GALA,GALA,1162
Lake Erie Storm,Lake Erie College,Storm,Great Lakes Intercollegiate Athletic Conference,2,LE,LEC,OHLE,OHLE,2746
Lake Forest Foresters,Lake Forest College,Foresters,Midwest Conference,3,LFC,LAF,ILLF,ILLF,344
Lakeland Muskies,Lakeland College,Muskies,Northern Athletics Conference,3,LAK,LC,WILK,WILK,1164
Lamar Cardinals,Lamar University,Cardinals,Southland Conference,1AA,LAM,LU,TXLA,TXLA,346
Lane Dragons,Lane College,Dragons,Southern Intercollegiate Athletic Conference,2,LAN,LNE,TNLA,TNLA,347
Langston Lions,Langston University,Lions,Central States Football League,NAIA,LAN,LU,OKLA,OKLA,506054
LaVerne Leopards,University of LaVerne,Leopards,Southern California Intercollegiate Athletic Conf.,3,LAV,UL,CALV,CALV,341
Lawrence Vikings,Lawrence University,Vikings,Midwest Conference,3,LAW,LU,WILW,WILW,348
Lebanon Valley Dutchmen,Lebanon Valley College,Dutchmen,Middle Atlantic Conference,3,LV,LVC,PALV,PALV,351
Lehigh Mountain Hawks,Lehigh University,Mountain Hawks,Patriot League,1AA,LEH,LU,PALE,PALE,352
Lenoir-Rhyne Bears,Lenoir-Rhyne College,Bears,South Atlantic Conference,2,LRC,LEN,NCLR,NCLR,1170
Lewis & Clark Pioneers,Lewis & Clark College,Pioneers,Northwest Conference,3,LCP,LCC,ORLC,ORLC,22235
Liberty Flames,Liberty University,Flames,Big South Conference,1AA,LIB,LU,VALB,VALB,355
Limestone Saints,Limestone College,Saints,Independent,2,LIM,LC,SCLC,SCLC,1174
Lincoln Blue Tigers,Lincoln University of Missouri,Blue Tigers,Great Lakes Valley Conference,2,LIN,LUM,MOLN,MOLN,356
Lincoln Lions,Lincoln University (Pa.),Lions,Central Intercollegiate Athletic Association,2,LCN,LU,PALN,PALN,357
Lindenwood Lions,Lindenwood University,Lions,Mid-America Intercollegiate Athletic Association,2,LUL,LU,MOLW,MOLW,30136
Lindenwood Lynx,Lindenwood University - Belleville,Lynx,Independent,NAIA,LIN,LUB,ILLB,ILLB,506373
Lindsey Wilson Blue Raiders,Lindsey Wilson College,Blue Raiders,Mid-South Conference,NAIA,LW,LWC,KYLW,KYLW,502727
Linfield Wildcats,Linfield College,Wildcats,Northwest Conference,3,LNW,LC,ORLI,ORLI,1179
Livingstone Blue Bears,Livingstone College,Blue Bears,Central Intercollegiate Athletic Association,2,LIV,LC,NCLI,NCLI,359
Lock Haven Bald Eagles,Lock Haven University,Bald Eagles,Pennsylvania State Athletic Conference,2,LH,LHU,PALH,PALH,360
Long Island University Pioneers,Long Island University-C.W. Post,Pioneers,Northeast-10 Conference,2,LIU,CWP,NYCW,NYCW,362
Long Island University Sharks,Long Island University,Sharks,Northeast-10 Conference,2,LIU,CWP,NYCW,NYCW,361
Loras Duhawks,Loras College,Duhawks,Iowa Intercollegiate Athletic Conference,3,LOR,LC,IALO,IALO,364
Louisiana State Fighting Tigers,Louisiana State University,Fighting Tigers,Southeastern Conference,1A,LSU,LS,LAST,LAST,365
Louisiana Tech Bulldogs,Louisiana Tech University,Bulldogs,Conference USA,1A,LTU,LOU,LATC,LATC,366
Louisiana Wildcats,Louisiana College,Wildcats,American Southwest Conference,3,LCW,LSC,LALC,LALC,1182
Louisiana-Lafayette Ragin Cajuns,University of Louisiana-Lafayette,Ragin Cajuns,Sun Belt Conference,1A,ULL,LL,LASW,LASW,671
Louisiana-Monroe Warhawks,University of Louisiana-Monroe,Warhawks,Sun Belt Conference,1A,ULM,LM,LANE,LANE,498
Louisville Cardinals,University of Louisville,Cardinals,Atlantic Coast Conference,1A,LOU,UL,KYLO,KYLO,367
Luther Norse,Luther College,Norse,Iowa Intercollegiate Athletic Conference,3,LUT,LC,IALU,IALU,372
Lycoming Warriors,Lycoming College,Warriors,Middle Atlantic Conference,3,LYC,LC,PALY,PALY,373
Macalester Scots,Macalester College,Scots,Midwest Conference,3,MAC,MC,MNMC,MNMC,376
MacMurray Highlanders,MacMurray College,Highlanders,Upper Midwest Athletic Conference,3,MCH,MC,ILMC,ILMC,377
Maine Black Bears,University of Maine,Black Bears,Colonial Athletic Association,1AA,ME,UM,MEUN,MEUN,380
Maine Maritime Mariners,Maine Maritime Academy,Mariners,New England Football Conference,3,MMM,MAI,MEMA,MEMA,378
Malone Pioneers,Malone University,Pioneers,Great Lakes Intercollegiate Athletic Conference,2,MAL,MU,OHML,OHML,30137
Manchester Spartans,Manchester College,Spartans,Heartland Collegiate Athletic Conference,3,MAN,MC,INMA,INMA,1192
Maranatha Crusaders,Maranatha Baptist College,Crusaders,Independent,3,MCC,MBC,WIMR,WIMR,1194
Marian Knights,Marian University,Knights,Mid-States Football Association,NAIA,MAR,MU,INMC,INMC,502945
Marietta Pioneers,Marietta College,Pioneers,Ohio Athletic Conference,3,MAP,MC,OHMA,OHMA,385
Marist Red Foxes,Marist College,Red Foxes,Pioneer Football League,1AA,MCR,MC,NYMR,NYMR,386
Maritime Privateers,SUNY - Maritime College,Privateers,Eastern Collegiate Football Conference,3,SMC,MC,NYMA,NYMA,478
Mars Hill Lions,Mars Hill College,Lions,South Atlantic Conference,2,MHC,MAR,NCMH,NCMH,1199
Marshall Thundering Herd,Marshall University,Thundering Herd,Conference USA,1A,MAR,MU,WVMA,WVMA,388
Martin Luther Knights,Martin Luther College,Knights,Upper Midwest Athletic Conference,3,ML,MLC,MNML,MNML,8597
Mary Hardin-Baylor Crusaders,University of Mary Hardin-Baylor,Crusaders,American Southwest Conference,3,MHB,MAR,TXHB,TXHB,1203
Mary Marauders,University of Mary,Marauders,Northern Sun Intercollegiate Conference,2,UMM,UM,NDMY,NDMY,30075
Maryland Terrapins,University of Maryland,Terrapins,Big Ten Conference,1A,MD,MAR,MDUN,MDUN,392
Maryville Scots,Maryville College,Scots,USA South Athletic Conference,3,MSC,MC,TNMA,TNMA,396
Massachusetts Institute of Technology Engineers,Massachusetts Institute of Technology,Engineers,New England Football Conference,3,MIT,MAS,MATC,MATC,398
Massachusetts Maritime Buccaneers,Massachusetts Maritime Academy,Buccaneers,Massachusetts State College Athletic Conference,3,MMB,MM,MAMA,MAMA,399
Massachusetts Minutemen,University of Massachusetts,Minutemen,Mid-American Conference,1A,MA,UM,MAUN,MAUN,400
Mayville State Comets,Mayville State University,Comets,North Star Athletic Association,NAIA,MSU,MAY,NDMA,NDMA,502225
McDaniel Green Terror,McDaniel College,Green Terror,Centennial Conference,3,MCD,MDC,MDWE,MDWE,773
McKendree Bearcats,McKendree College,Bearcats,Great Lakes Valley Conference,2,MCK,MC,ILMK,ILMK,30138
McMurry War Hawks,McMurry University,War Hawks,American Southwest Conference,3,MCM,MU,TXMC,TXMC,8530
McNeese State Cowboys,McNeese State University,Cowboys,Southland Conference,1AA,MCN,MSU,LAMC,LAMC,402
McPherson Bulldogs,McPherson College,Bulldogs,Kansas Collegiate Athletic Conference,NAIA,MCP,MC,KSMC,KSMC,506039
Memphis Tigers,University of Memphis,Tigers,American Athletic Conference,1A,MEM,UM,TNMS,TNMS,404
Menlo Oaks,Menlo College,Oaks,Independent,NAIA,MEN,MC,CAME,CAME,506392
Mercer Bears,Mercer University,Bears,Southern Conference,1AA,MER,MU,GAME,GAME,406
Mercyhurst Lakers,Mercyhurst College,Lakers,Pennsylvania State Athletic Conference,2,MCL,MCY,PAME,PAME,408
Merrimack Warriors,Merrimack College,Warriors,Northeast-10 Conference,2,MCW,MC,MAMK,MAMK,410
Mesa State Mavericks,Mesa State College,Mavericks,Rocky Mountain Athletic Conference,2,MES,MSC,COME,COME,11416
Methodist Monarchs,Methodist University,Monarchs,USA South Athletic Conference,3,MET,MU,NCME,NCME,412
Miami Hurricanes,University of Miami (Fla.),Hurricanes,Atlantic Coast Conference,1A,MIA,U,FLMI,FLMI,415
Miami Redhawks,Miami University (Ohio),Redhawks,Mid-American Conference,1A,MIO,MOH,OHMI,OHMI,414
Michigan State Spartans,Michigan State University,Spartans,Big Ten Conference,1A,MIC,MST,MIST,MIST,416
Michigan Technological Huskies,Michigan Technological University,Huskies,Great Lakes Intercollegiate Athletic Conference,2,MTU,MIC,MITC,MITC,417
Michigan Wolverines,University of Michigan,Wolverines,Big Ten Conference,1A,MI,MIC,MIUN,MIUN,418
Middle Tennessee Blue Raiders,Middle Tennessee State University,Blue Raiders,Conference USA,1A,MTS,MID,TNMI,TNMI,419
Middlebury Panthers,Middlebury College,Panthers,New England Small College Athletic Conference,3,MDB,MC,VTMI,VTMI,420
Midland Warriors,Midland University,Warriors,Great Plains Athletic Conference,NAIA,MID,MU,NELU,NELU,506060
Midwestern State Mustangs,Midwestern State University,Mustangs,Lone Star Conference,2,MID,MWS,TXMW,TXMW,1222
Miles Golden Bears,Miles College,Golden Bears,Southern Intercollegiate Athletic Conference,2,MIL,MC,ALMI,ALMI,422
Millersville Marauders,Millersville University,Marauders,Pennsylvania State Athletic Conference,2,MUM,MU,PAMI,PAMI,423
Millikin Big Blue,Millikin University,Big Blue,College Conference of Illinois and Wisconsin,3,MLB,MU,ILMI,ILMI,424
Millsaps Majors,Millsaps College,Majors,Southern Athletic Association,3,MLS,MC,MSMI,MSMI,426
Minnesota Golden Gophers,University of Minnesota,Golden Gophers,Big Ten Conference,1A,MN,MIN,MNUN,MNUN,428
Minnesota State Dragons,Minnesota State University-Moorhead,Dragons,Northern Sun Intercollegiate Conference,2,MSD,MIN,MNMH,MNMH,1240
Minnesota State-Mankato Mavericks,Minnesota State University-Mankato,Mavericks,Northern Sun Intercollegiate Conference,2,MIN,MSM,MNMA,MNMA,383
Minnesota-Crookston Golden Eagles,University of Minnesota-Crookston,Golden Eagles,Northern Sun Intercollegiate Conference,2,MC,MIN,MNCR,MNCR,27854
Minnesota-Duluth Bulldogs,University of Minnesota-Duluth,Bulldogs,Northern Sun Intercollegiate Conference,2,UMD,MD,MNDU,MNDU,427
Minnesota-Morris Cougars,University of Minnesota-Morris,Cougars,Upper Midwest Athletic Conference,3,MIM,MIN,MNMS,MNMS,1226
Minot Beavers,Minot State University,Beavers,Northern Sun Intercollegiate Conference,2,MUB,MU,NDMI,NDMI,30125
Misericordia Cougars,Misericordia University,Cougars,Middle Atlantic Conference,3,MUC,MU,PAMS,PAMS,16142
Mississippi Choctaws,Mississippi College,Choctaws,Gulf South Conference,2,MIS,MC,MSCO,MSCO,429
Mississippi Rebels,University of Mississippi,Rebels,Southeastern Conference,1A,MS,MIS,UM,MSUN,433
Mississippi State Bulldogs,Mississippi State University,Bulldogs,Southeastern Conference,1A,MST,MIS,UM,MSST,430
Mississippi Valley Delta Devils,Mississippi Valley State University,Delta Devils,Southwestern Athletic Conference,1AA,MVS,MIS,MSVA,MSVA,432
Missouri Baptist Spartans,Missouri Baptist University,Spartans,Independent,NAIA,LIM,LC,MOBP,MOBP,503262
Missouri S&T Miners,Missouri University of Science and Technology,Miners,Great Lakes Valley Conference,2,MSM,MO,MORO,MORO,435
Missouri Southern Lions,Missouri Southern State University,Lions,Mid-America Intercollegiate Athletic Association,2,MSS,MOS,MOSO,MOSO,9012
Missouri State Bears,Missouri State University,Bears,Missouri Valley Football Conference,1AA,MSU,MOS,MOSW,MOSW,669
Missouri Tigers,University of Missouri,Tigers,Southeastern Conference,1A,MO,MIS,MU,MOUN,434
Missouri Valley Vikings,Missouri Valley College,Vikings,Heart of America Athletic Conference,NAIA,MV,MVC,MOVA,MOVA,506068
Missouri Western Griffons,Missouri Western State University,Griffons,Mid-America Intercollegiate Athletic Association,2,MWS,MIS,MOWE,MOWE,9013
Monmouth Fighting Scots,Monmouth College,Fighting Scots,Midwest Conference,3,MCS,MC,ILMO,ILMO,438
Monmouth Hawks,Monmouth University,Hawks,Big South Conference,1AA,MON,MU,NJMO,NJMO,439
Montana - Western Bulldogs,University of Montana - Western,Bulldogs,Frontier Conference,NAIA,UMW,MON,MTWE,MTWE,506024
Montana Grizzlies,University of Montana,Grizzlies,Big Sky Conference,1AA,MTG,MON,MTUN,MTUN,441
Montana State Fighting Bobcats,Montana State University,Fighting Bobcats,Big Sky Conference,1AA,MSB,MSU,MTST,MTST,440
Montana State Northern Lights,Montana State University-Northern,Lights,Frontier Conference,NAIA,MSN,MS,MTSN,MTSN,503735
Montana Tech Orediggers,Montana Tech,Orediggers,Frontier Conference,NAIA,MT,MTU,MTCL,MTCL,506022
Montclair State Red Hawks,Montclair State University,Red Hawks,New Jersey Athletic Conference,3,MSR,MON,NJMC,NJMC,442
Moravian Greyhounds,Moravian College,Greyhounds,Centennial Conference,3,MOG,MC,PAMO,PAMO,443
Morehead State Eagles,Morehead State University,Eagles,Pioneer Football League,1AA,MSE,MOR,KYMO,KYMO,444
Morehouse Maroon Tigers,Morehouse College,Maroon Tigers,Southern Intercollegiate Athletic Conference,2,MMT,MC,GAMH,GAMH,445
Morgan State Bears,Morgan State University,Bears,Mid-Eastern Athletic Conference,1AA,MOR,MSU,MDMO,MDMO,446
Morningside Mustangs,Morningside College,Mustangs,Great Plains Athletic Conference,NAIA,MOR,MRN,IAMO,IAMO,506400
Morrisville State Mustangs,Morrisville State College,Mustangs,Empire 8 Conference,3,MRS,MSU,NYMO,NYMO,30067
Mount Ida Mustangs,Mount Ida College,Mustangs,Eastern Collegiate Football Conference,3,MTM,MIC,MAMI,MAMI,27901
Mount St. Joseph Lions,College of Mount St. Joseph,Lions,Heartland Collegiate Athletic Conference,3,MSJ,MOU,OHSJ,OHSJ,8567
Mount Union Purple Raiders,Mount Union College,Purple Raiders,Ohio Athletic Conference,3,MU,MUC,OHMT,OHMT,452
Muhlenberg Mules,Muhlenberg College,Mules,Centennial Conference,3,MUH,MC,PAMU,PAMU,453
Murray State Racers,Murray State University,Racers,Ohio Valley Conference,1AA,MUR,MSU,KYMU,KYMU,454
Muskingum Fighting Muskies,Muskingum College,Fighting Muskies,Ohio Athletic Conference,3,MUS,MC,OHMS,OHMS,455
Navy Midshipmen,United States Naval Academy,Midshipmen,American Athletic Conference,1A,NVY,NAV,MDNA,MDNA,726
Nebraska Cornhuskers,University of Nebraska,Cornhuskers,Big Ten Conference,1A,NE,NEB,NEUN,NEUN,463
Nebraska Wesleyan Prairie Wolves,Nebraska Wesleyan University,Prairie Wolves,Great Plains Athletic Conference,NAIA,NW,NWU,NEWS,NEWS,462
Nebraska-Kearney Lopers,University of Nebraska-Kearney,Lopers,Mid-America Intercollegiate Athletic Association,2,UNK,NEB,NEKE,NEKE,1156
Nevada Wolfpack,University of Nevada,Wolfpack,Mountain West Conference,1A,NV,NEV,NVRE,NVRE,466
Nevada-Las Vegas Rebels,University of Nevada-Las Vegas,Rebels,Mountain West Conference,1A,NLV,NEV,NVLV,NVLV,465
New England Nor'Easters,University Of New England,Nor'Easters,New England Football Conference,3,UNE,NRE,MENE,MENE,1255
New Hampshire Wildcats,University of New Hampshire,Wildcats,Colonial Athletic Association,1AA,NH,NHA,NHUN,NHUN,469
New Haven Chargers,University of New Haven,Chargers,Northeast-10 Conference,2,UNH,NH,CTNH,CTNH,470
New Jersey Lions,College of New Jersey,Lions,New Jersey Athletic Conference,3,CNJ,NJ,NJTR,NJTR,712
New Mexico Highlands Cowboys,New Mexico Highlands University,Cowboys,Rocky Mountain Athletic Conference,2,NMH,NM,NMHI,NMHI,8577
New Mexico Lobos,University of New Mexico,Lobos,Mountain West Conference,1A,NM,UNM,NMUN,NMUN,473
New Mexico State Aggies,New Mexico State University,Aggies,Sun Belt Conference,1A,NMS,NM,NMST,NMST,472
Newberry Wolves,Newberry College,Wolves,South Atlantic Conference,2,NEW,NBY,SCNE,SCNE,1257
Nicholls State Colonels,Nicholls State University,Colonels,Southland Conference,1AA,NSU,NIC,LANI,LANI,483
Nichols Bison,Nichols College,Bison,New England Football Conference,3,NCB,NC,MANI,MANI,484
Norfolk State Spartans,Norfolk State University,Spartans,Mid-Eastern Athletic Conference,1AA,NOR,NSU,VANO,VANO,485
North Alabama Lions,University of North Alabama,Lions,Gulf South Conference,2,,NAL,ALNO,ALNO,487
North Carolina A&T Aggies,North Carolina A&T State University,Aggies,Mid-Eastern Athletic Conference,1AA,NCA,NCT,NCAT,NCAT,488
North Carolina at Pembroke Braves,University of North Carolina at Pembroke,Braves,Independent,2,NCP,NC,NCPM,NCPM,537
North Carolina Central Eagles,North Carolina Central University,Eagles,Mid-Eastern Athletic Conference,1AA,NCE,NCU,NCCE,NCCE,489
North Carolina State Wolfpack,North Carolina State University,Wolfpack,Atlantic Coast Conference,1A,NCS,NC,NCST,NCST,490
North Carolina Tar Heels,University of North Carolina,Tar Heels,Atlantic Coast Conference,1A,NC,UNC,NCUN,NCUN,457
North Carolina Wesleyan Battling Bishops,North Carolina Wesleyan College,Battling Bishops,USA South Athletic Conference,3,NCW,NC,NCWC,NCWC,491
North Central Cardinals,North Central College,Cardinals,College Conference of Illinois and Wisconsin,3,NCR,NOR,ILNC,ILNC,492
North Dakota Fighting Sioux,University of North Dakota,Fighting Sioux,Big Sky Conference,1AA,NDF,NDA,NDUN,NDUN,494
North Dakota State Bison,North Dakota State University,Bison,Missouri Valley Football Conference,1AA,NDS,ND,NDST,NDST,493
